type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,45,2a:00:00:00:00:00,-56,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,849000,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-3,-5,-3,-5,-4,-4,-3,-4,-3,-3,-2,-2,-1,-2,-1,-1,-1,-1,0,0,0,0,1,1,1,1,2,1,2,2,4,3,4,3,5,4,5,4,5,4,6,5,6,5,7,6,7,5,7,6,8,6,0,0,8,6,8,6,8,6,9,7,8,6,8,6,8,6,8,6,8,6,8,6,7,7,7,6,7,6,7,5,6,5,6,5,6,5,5,4,5,4,5,3,5,3,5,4,4,4,3,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,17,-34,12,-32,19,-28,11,-31,18,-20,16,-25,15,-17,10,-18,9,-7,-1,-16,10,-5,-12,-5,-1,0,-3,5,-2,14,-8,12,-13,21,-14,19,-27,25,-20,22,-25,22,-23,28,-29,33,-21,36,-37,36,-29,33,-34,45,-34,40,-36,38,-41,43,-47,49,-45,44,-47,45,-46,47,-40,47,-43,34,-40,43,-46,36,-41,44,-43,42,-35,45,-33,36,-34,43,-30,41,-35,40,-30,27,-36,30,-24,32,-31,33,-18,40,-29,26,-25,27,-16,20,-22,21,-20,28,-13,21,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,58,38,67,16,69,23,66,14,58,12,57,13,52,1,49,-3,44,1,37,-2,37,-3,34,5,29,-5,21,-2,11,6,-2,0,-2,5,-11,0,-16,5,-21,19,-27,12,-36,12,-39,7,-37,8,-45,19,-46,18,-53,21,-53,17,-55,28,-56,15,-52,23,-63,17,-62,20,-61,18,-61,11,-66,8,-70,10,-68,0,-68,1,-71,-6,-74,0,-61,-9,-72,-11,-65,-4,-74,-9,-79,-11,-78,-6,-73,-9,-75,-17,-57,-17,-68,-16,-68,-15,-69,-15,-60,-25,-54,-21,-60,-25,-52,0,0]"
CSI_DATA,46,2a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,868395,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,-4,-4,-4,-4,-3,-3,-2,-2,-2,-2,-1,-1,-1,-1,-1,0,0,1,1,1,1,2,1,2,2,4,3,4,3,5,3,5,3,5,4,6,4,6,5,7,5,7,5,7,5,8,6,0,0,8,6,8,6,8,6,9,6,8,6,8,6,8,6,8,6,8,6,8,6,7,6,7,6,7,5,6,5,6,4,6,4,6,4,5,4,5,4,5,3,5,3,4,3,4,3,3,3,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,20,-41,20,-44,21,-44,12,-28,16,-26,13,-19,13,-16,23,-17,7,-11,12,-7,2,-6,0,-2,5,-4,-2,2,3,5,-10,5,-4,4,-2,16,-13,29,-8,27,-30,28,-33,38,-19,23,-25,27,-26,42,-17,38,-26,50,-32,48,-26,50,-35,38,-30,55,-31,45,-33,48,-31,48,-34,57,-31,47,-40,57,-33,47,-33,48,-26,47,-26,48,-24,49,-24,37,-30,38,-24,40,-20,37,-27,34,-27,31,-15,28,-16,27,-6,38,-17,33,-19,34,-9,15,-11,22,-13,22,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,62,35,69,33,64,19,76,26,63,23,61,17,59,17,51,2,52,2,39,1,42,3,32,1,25,5,16,6,7,11,5,-2,-2,1,-4,2,-11,3,-7,8,-29,3,-26,8,-26,3,-48,16,-38,19,-45,16,-50,21,-63,19,-46,16,-53,20,-66,15,-58,14,-59,10,-59,10,-66,16,-62,9,-64,1,-78,4,-71,-2,-73,-4,-78,-1,-76,-8,-75,-11,-73,-2,-88,-10,-60,-10,-71,-20,-75,-17,-75,-19,-71,-25,-73,-15,-67,-14,-76,-28,-70,-31,-62,-32,-58,-22,-62,0,0]"
CSI_DATA,47,2a:00:00:00:00:00,-57,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,900548,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,7,-4,6,-4,5,-3,4,-3,3,-3,3,-3,2,-2,2,-2,1,-1,0,-1,-1,-1,-1,0,-2,1,-3,1,-4,1,-4,2,-5,2,-6,2,-7,3,-7,3,-8,3,-8,3,-8,3,-9,4,-9,4,-9,4,0,0,-10,4,-10,4,-10,5,-10,4,-10,4,-10,4,-10,4,-10,3,-10,3,-9,3,-9,3,-8,3,-8,3,-8,3,-7,3,-7,3,-7,3,-7,3,-6,2,-6,2,-6,2,-5,1,-5,1,-4,1,-4,1,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-57,11,-56,-2,-51,-8,-42,0,-34,7,-30,-1,-28,9,-27,-5,-21,5,-16,-6,-9,-2,-5,-3,-9,9,-10,1,2,4,0,-2,15,2,13,5,24,-2,23,2,34,3,28,1,38,-6,40,-1,38,1,43,-1,54,2,43,4,51,6,55,-4,56,3,56,-6,52,0,51,0,58,2,53,3,62,2,56,3,53,0,56,-1,47,7,46,1,41,5,44,4,45,9,40,7,40,-3,41,5,33,5,38,9,31,4,29,3,26,-2,33,0,14,-1,26,-7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-16,-76,-23,-75,-33,-73,-43,-68,-42,-63,-32,-60,-44,-53,-41,-49,-45,-42,-37,-38,-34,-29,-31,-33,-29,-24,-29,-25,-23,-22,-16,2,-18,-6,-11,0,-3,2,6,2,10,5,6,15,14,15,11,18,27,30,29,23,32,30,31,32,36,43,39,37,47,37,46,36,47,38,50,38,44,48,48,45,34,45,42,46,38,55,34,57,40,65,43,55,29,63,36,66,30,60,31,63,34,72,23,64,22,66,29,76,26,67,18,73,21,58,13,72,8,67,15,67,9,0,0]"
CSI_DATA,48,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,908333,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-8,-1,-7,0,-6,0,-5,0,-5,0,-4,0,-4,0,-3,0,-2,0,-1,-1,0,0,1,0,2,-1,2,-1,3,-1,4,-1,5,-1,6,-1,6,-1,7,-2,7,-1,8,-2,9,-1,9,-1,9,-1,9,-1,0,0,10,-2,11,-2,10,-2,11,-2,10,-1,10,-1,10,-1,10,-1,9,-1,9,-1,9,-1,8,-1,8,-1,7,-1,7,-2,7,-2,7,-1,6,-1,6,-2,5,-2,5,-1,5,-1,4,-1,4,0,3,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,26,-14,24,-5,23,-11,19,-2,20,-2,18,-2,13,-8,9,-2,15,-2,14,-1,9,2,5,-2,1,7,5,2,-3,3,-3,1,-5,2,-6,5,-12,4,-12,3,-14,3,-19,5,-18,8,-20,5,-19,5,-25,7,-23,7,-25,4,-25,8,-28,10,-26,8,-28,7,-26,4,-26,11,-28,11,-28,12,-27,8,-28,9,-27,9,-24,11,-20,7,-22,8,-23,4,-25,7,-24,3,-14,9,-17,5,-15,5,-17,7,-15,5,-15,5,-17,7,-15,6,-15,1,-14,0,-8,6,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,18,44,15,41,18,38,22,38,19,32,19,31,19,28,21,20,26,20,20,14,19,16,14,17,22,11,16,13,14,6,13,5,14,4,10,3,4,0,6,1,4,-4,-5,-5,-7,-5,-10,-10,-12,-9,-12,-12,-19,-5,-21,-8,-16,-14,-24,-14,-24,-15,-26,-18,-27,-18,-22,-14,-28,-22,-28,-21,-23,-22,-21,-22,-24,-25,-22,-32,-30,-25,-26,-33,-19,-31,-21,-34,-21,-33,-27,-33,-23,-33,-19,-34,-24,-33,-19,-30,-17,-36,-17,-38,-19,-33,-16,-34,-14,-34,-19,-28,-9,0,0]"
CSI_DATA,49,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,939337,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,6,-3,5,-3,4,-2,3,-2,3,-2,2,-2,1,-2,1,-2,0,-2,-1,-1,-2,-1,-2,-1,-3,0,-4,0,-5,0,-6,0,-7,0,-7,0,-8,1,-9,1,-9,1,-10,1,-9,0,-10,1,-10,1,-11,1,0,0,-11,1,-11,1,-11,1,-11,1,-11,0,-11,0,-11,0,-10,0,-10,0,-9,0,-9,0,-9,0,-8,0,-8,0,-8,0,-8,0,-7,0,-7,0,-7,0,-6,0,-6,0,-5,-1,-5,-1,-4,-1,-4,-1,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-22,5,-23,3,-21,4,-25,-1,-15,7,-17,2,-14,-4,-19,0,-8,-1,-7,0,-5,0,-6,-3,-2,0,1,-6,3,-5,5,-2,9,0,5,-4,7,-9,10,-8,17,-9,17,-6,24,-5,20,-12,24,-8,24,-10,23,-8,25,-12,27,-14,27,-7,24,-8,26,-13,24,-8,24,-6,29,-12,24,-13,25,-12,24,-13,25,-12,22,-9,22,-9,25,-10,18,-12,23,-8,19,-6,18,-6,20,-6,18,-4,13,-7,17,-9,14,-5,12,-6,10,-6,6,-8,10,-3,8,-7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47,-18,-46,-17,-41,-19,-43,-27,-40,-23,-38,-27,-31,-27,-28,-31,-21,-24,-28,-25,-22,-30,-24,-20,-19,-24,-18,-20,-13,-23,-10,-18,-10,-16,-2,-15,-3,-11,-4,-6,5,-9,10,0,5,3,3,1,10,7,10,12,12,12,15,10,19,10,11,18,15,13,13,17,18,19,14,19,19,24,18,22,21,24,31,21,29,16,27,19,26,22,27,18,30,15,33,13,28,18,32,22,30,20,32,17,29,17,34,14,35,14,31,15,28,12,26,9,32,12,26,10,30,9,0,0]"
CSI_DATA,50,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,948331,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,1,5,1,4,1,3,0,3,0,2,0,1,1,0,1,-1,1,-2,1,-3,1,-3,1,-4,1,-5,1,-6,1,-7,1,-8,1,-8,2,-9,2,-9,2,-10,2,-10,2,-10,2,-11,2,-11,0,0,3,-12,3,-11,3,-11,3,-11,3,-11,3,-11,3,-10,3,-10,4,-10,3,-9,3,-9,2,-9,2,-8,2,-8,3,-7,2,-7,2,-7,2,-6,2,-6,2,-6,2,-5,2,-5,1,-5,1,-4,2,-3,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,19,14,20,3,16,1,12,2,13,6,11,1,12,0,5,0,5,-5,6,-4,5,0,2,-3,-2,-5,-5,-5,-5,-7,-10,-7,-7,-8,-11,-9,-11,-11,-14,-10,-13,-13,-15,-14,-20,-14,-22,-17,-21,-14,-17,-17,-23,-16,-19,-20,-21,-20,-20,-23,-20,-18,-20,-22,-21,-19,-22,-20,-20,-22,-21,-19,-16,-18,-20,-22,-19,-19,-19,-19,-15,-20,-15,-18,-17,-18,-10,-17,-12,-15,-14,-18,-13,-10,-12,-12,-9,-8,-7,-14,-12,-11,-12,-10,-4,-12,-8,-8,-6,-10,-5,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-47,15,-47,15,-44,21,-43,22,-39,24,-37,24,-35,25,-30,25,-28,26,-27,24,-20,25,-17,22,-18,23,-14,22,-9,16,-10,16,-8,13,-2,11,2,4,3,5,7,6,3,3,5,-4,6,-8,10,-9,11,-12,14,-13,8,-11,10,-13,17,-21,18,-19,15,-19,18,-18,14,-18,17,-22,19,-20,19,-21,19,-19,22,-19,22,-20,22,-21,25,-22,26,-24,24,-22,27,-18,36,-15,29,-14,28,-16,32,-20,23,-16,28,-17,24,-14,29,-16,26,-12,30,-11,28,-12,27,0,0]"
CSI_DATA,51,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,958318,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-2,-7,-2,-6,-2,-6,-2,-5,-2,-4,-2,-3,-2,-2,-2,-1,-2,-1,-2,0,-2,1,-2,2,-2,2,-2,3,-2,4,-1,5,-1,6,-2,6,-2,7,-2,7,-3,8,-3,9,-3,9,-2,9,-3,9,-3,10,0,0,-3,10,-3,10,-3,10,-3,10,-4,10,-4,9,-3,9,-3,9,-4,8,-4,8,-4,8,-3,7,-3,7,-3,7,-3,6,-3,6,-2,6,-3,5,-3,5,-3,4,-3,4,-2,4,-2,4,-2,3,-3,2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-9,-22,-9,-19,2,-20,0,-19,-2,-13,-3,-18,-3,-18,5,-6,-1,-6,5,-6,-3,-4,4,-1,4,-1,3,2,5,5,5,6,9,7,11,10,7,16,8,17,10,14,9,20,10,19,12,17,11,19,10,24,15,27,16,22,11,23,16,22,18,25,14,22,13,24,15,16,18,23,15,21,19,21,17,17,20,24,18,14,19,20,17,17,13,15,7,13,11,12,11,11,10,13,10,11,8,12,9,11,13,10,8,4,8,7,9,2,8,5,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,51,-11,48,-7,46,-15,46,-13,43,-18,43,-21,38,-18,34,-24,37,-19,32,-25,26,-22,26,-18,21,-19,15,-23,13,-18,11,-13,5,-13,1,-22,-4,-8,-2,-5,-7,-6,-6,-3,-6,0,-6,3,-5,-2,-12,2,-16,11,-17,12,-19,11,-19,13,-22,16,-15,12,-21,13,-25,14,-26,16,-22,17,-26,17,-28,17,-25,13,-26,19,-25,15,-32,16,-28,16,-31,9,-28,13,-43,13,-35,11,-31,14,-33,9,-35,12,-31,9,-32,12,-30,11,-26,10,-31,5,-25,7,-26,0,0]"
CSI_DATA,52,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,969154,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-6,-3,-6,-3,-5,-3,-4,-2,-4,-1,-3,-1,-3,0,-2,1,-2,1,-1,2,0,2,0,3,1,3,1,4,2,5,3,6,3,6,3,6,3,7,3,8,3,8,3,9,4,9,3,9,4,10,0,0,4,10,4,9,4,10,3,10,3,10,3,9,3,9,2,9,2,9,2,8,2,8,2,8,2,7,1,7,1,6,1,6,1,6,1,5,0,5,0,4,0,4,0,4,-1,4,-1,4,-1,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,10,-14,10,-16,10,-20,17,-15,7,-12,9,-11,7,-8,11,-3,8,-5,8,-5,2,-7,4,2,2,3,3,3,3,5,1,10,0,17,-1,14,1,14,4,21,3,19,-1,19,-3,25,1,19,0,20,0,19,3,29,5,28,1,28,3,29,9,24,6,24,1,23,1,26,8,31,9,26,9,23,7,24,6,20,9,20,7,20,6,23,5,20,6,18,4,15,9,14,6,12,4,13,5,13,4,8,6,11,6,9,4,9,8,7,3,4,5,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,22,37,32,38,30,31,30,33,38,29,34,26,35,18,34,15,32,17,34,13,32,7,35,6,34,2,29,-5,27,-1,18,-1,18,-8,11,-8,13,-11,10,-11,8,-11,0,-5,-3,-12,0,-9,-15,-11,-8,-10,-13,-11,-19,-13,-14,-8,-17,-8,-19,-9,-24,-8,-22,-13,-24,-3,-22,-11,-27,-10,-29,-11,-26,-11,-26,-14,-30,-8,-30,-13,-31,-10,-29,-13,-31,-14,-27,-9,-23,-12,-29,-17,-28,-13,-34,-13,-29,-14,-33,-14,-24,-12,-27,-10,-25,-18,-28,-14,-28,-16,-26,0,0]"
CSI_DATA,53,2a:00:00:00:00:00,-58,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,979470,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-6,1,-6,1,-5,1,-4,1,-4,1,-3,1,-2,2,-1,2,0,1,1,2,1,2,3,1,3,1,4,1,5,2,5,2,6,2,7,2,7,2,8,3,8,3,8,3,8,3,9,3,9,3,0,0,9,4,9,4,9,4,9,4,8,4,8,4,8,4,7,4,7,4,7,4,6,4,6,3,6,3,5,3,5,3,5,2,5,3,4,2,4,2,4,2,3,2,2,2,2,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,-1,19,-5,20,-2,20,2,18,-1,13,6,11,3,12,1,7,1,9,6,6,-3,0,7,1,6,-3,5,-1,7,-6,10,-3,9,-6,14,-11,8,-12,10,-13,14,-16,9,-19,8,-21,12,-21,15,-21,14,-21,18,-19,16,-18,17,-19,17,-21,11,-19,16,-18,18,-22,18,-17,21,-20,16,-20,18,-17,18,-19,18,-17,17,-15,15,-15,13,-8,12,-14,11,-17,13,-10,13,-7,16,-14,10,-8,10,-10,5,-12,7,-10,4,-8,4,-7,8,-5,6,-2,5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-1,52,2,45,10,48,8,44,12,43,16,39,16,39,17,39,16,33,18,28,19,25,19,24,22,16,20,12,21,12,20,10,15,4,16,3,17,1,10,-5,7,-4,6,-7,9,-7,5,-10,-5,-14,-1,-15,-5,-13,-4,-13,-5,-15,-12,-18,-6,-19,-11,-26,-9,-19,-13,-22,-15,-22,-10,-24,-10,-28,-12,-19,-13,-26,-13,-33,-13,-29,-13,-29,-11,-31,-9,-30,-11,-38,-11,-31,-13,-30,-16,-36,-10,-32,-12,-32,-14,-31,-15,-30,-4,-36,-9,-35,-11,-27,-5,-29,-7,0,0]"
CSI_DATA,54,2a:00:00:00:00:00,-59,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,999151,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,6,-4,5,-4,4,-3,4,-3,3,-3,2,-3,2,-3,1,-3,0,-3,-1,-2,-1,-3,-2,-3,-3,-3,-4,-3,-5,-2,-5,-3,-6,-3,-7,-3,-8,-3,-8,-3,-9,-4,-9,-4,-8,-4,-9,-4,-9,-5,-9,-5,0,0,-10,-5,-9,-5,-10,-5,-9,-5,-9,-6,-9,-5,-8,-5,-8,-5,-7,-5,-7,-5,-7,-5,-6,-5,-6,-5,-6,-5,-6,-4,-6,-4,-5,-4,-5,-3,-4,-3,-4,-3,-4,-3,-2,-3,-2,-3,-1,-3,-2,-3,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-24,-2,-29,-4,-23,-5,-24,-7,-15,-5,-13,-4,-16,-4,-14,-3,-11,-3,-8,-8,-13,-7,1,-6,-7,-5,0,-9,-3,-11,1,-10,5,-7,9,-13,8,-12,9,-11,15,-11,12,-13,18,-14,20,-15,19,-10,18,-17,18,-15,19,-17,20,-19,20,-18,19,-20,15,-18,15,-19,22,-21,21,-21,16,-19,17,-16,13,-16,18,-18,13,-17,18,-18,11,-19,14,-15,10,-11,9,-10,5,-13,8,-13,9,-13,3,-11,5,-7,2,-8,4,-8,1,-11,2,-5,2,-9,0,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,35,-33,30,-46,26,-43,21,-44,22,-46,18,-43,13,-41,11,-48,8,-48,1,-38,1,-34,-4,-31,-6,-32,-8,-27,-8,-25,-14,-23,-16,-16,-11,-16,-16,-13,-17,-9,-17,-7,-10,1,-12,2,-14,12,-14,9,-8,12,-7,18,-5,19,-9,18,-6,18,-7,20,-6,27,-4,22,-4,24,-3,29,-4,26,-4,30,-2,29,2,26,-2,33,-6,28,0,30,-6,37,-3,30,-2,43,-3,34,-3,35,-4,32,-1,37,-2,34,1,34,-6,27,-1,30,-11,34,-6,31,-4,32,-7,0,0]"
