type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,31,2a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,855715,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,12,4,12,4,12,4,12,5,12,5,11,4,11,4,11,3,11,3,11,4,11,3,11,3,11,3,10,3,9,3,11,2,10,2,11,3,10,2,10,3,10,3,9,3,10,2,10,3,9,3,9,3,0,0,9,3,8,3,8,3,8,3,7,3,7,3,7,3,6,3,6,2,7,2,6,3,6,2,5,3,5,2,5,2,5,2,5,2,5,2,5,3,5,2,4,3,4,2,4,3,4,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,44,69,41,62,35,63,39,65,38,68,37,65,37,64,40,60,38,57,34,59,32,60,34,59,39,53,29,57,28,57,26,58,26,55,24,55,30,57,25,54,21,53,24,52,22,52,25,56,23,54,27,57,28,51,25,48,24,54,24,45,27,51,25,44,22,41,22,44,20,40,18,39,21,37,24,37,21,38,17,32,18,33,21,32,22,29,18,34,22,28,18,24,18,23,20,26,17,27,17,26,16,27,20,23,19,19,21,18,20,18,18,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,10,-51,5,-49,1,-47,-7,-46,-9,-41,-12,-33,-15,-33,-16,-33,-17,-28,-17,-21,-17,-17,-15,-18,-11,-10,-1,-4,-3,-5,3,-1,5,-4,4,-2,12,0,18,1,19,-4,26,-3,29,0,34,-9,36,-11,45,-14,42,-18,44,-19,43,-25,48,-26,52,-29,49,-30,44,-28,49,-29,49,-31,57,-32,53,-34,51,-35,50,-33,56,-36,56,-33,50,-32,53,-32,59,-33,55,-28,52,-37,55,-34,59,-30,58,-34,60,-29,57,-28,67,-33,64,-35,58,-34,67,-32,69,-31,64,0,0]"
CSI_DATA,32,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,855867,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-3,-13,-4,-13,-4,-13,-3,-14,-3,-14,-3,-13,-3,-12,-4,-13,-4,-13,-4,-13,-3,-12,-4,-12,-4,-12,-5,-12,-4,-12,-4,-11,-4,-11,-4,-11,-5,-11,-4,-11,-4,-11,-4,-11,-3,-11,-4,-11,-3,-11,-3,-11,0,0,-3,-10,-3,-10,-3,-10,-2,-9,-2,-9,-2,-9,-2,-9,-2,-8,-1,-8,-2,-8,-1,-8,-2,-7,-2,-8,-2,-7,-1,-7,-2,-7,-2,-7,-1,-6,-1,-6,-1,-6,0,-6,-1,-6,-1,-6,-1,-6,0,-5,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-76,-17,-71,-14,-74,-17,-70,-18,-69,-16,-75,-15,-68,-15,-72,-22,-71,-17,-70,-15,-63,-19,-70,-19,-61,-15,-63,-20,-65,-18,-62,-20,-62,-20,-57,-19,-62,-22,-53,-26,-56,-22,-56,-22,-56,-26,-58,-18,-57,-24,-55,-19,-53,-21,-57,-18,-56,-16,-52,-17,-51,-22,-51,-20,-51,-19,-52,-13,-46,-16,-48,-12,-43,-12,-44,-12,-40,-11,-41,-14,-41,-12,-33,-9,-39,-11,-34,-12,-35,-13,-32,-10,-32,-8,-33,-11,-34,-6,-28,-4,-34,-6,-30,-8,-31,-5,-29,1,-32,-1,-28,3,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,36,38,28,36,25,45,21,36,15,40,12,32,8,33,3,30,2,28,0,24,0,17,2,18,0,15,1,5,2,5,4,-3,6,-3,8,-10,12,-10,21,-12,18,-17,25,-16,29,-15,38,-15,37,-14,44,-15,45,-17,46,-19,47,-15,51,-19,54,-15,57,-11,57,-10,54,-10,59,-14,56,-4,55,-10,62,-7,59,-7,62,-8,63,-15,64,-12,58,-11,63,-11,67,-21,63,-20,65,-14,70,-19,66,-19,65,-12,72,-18,70,-20,67,-23,75,-20,76,-24,78,-26,0,0]"
CSI_DATA,33,2a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,855990,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-14,4,-14,4,-13,4,-13,4,-12,4,-12,4,-13,4,-12,4,-12,5,-12,4,-12,3,-12,3,-11,4,-11,4,-10,4,-11,4,-11,4,-11,4,-10,4,-10,4,-10,5,-10,5,-11,4,-10,3,-10,3,-10,3,0,0,-10,3,-9,3,-9,3,-9,3,-8,2,-8,3,-8,2,-8,2,-8,2,-7,2,-8,2,-7,2,-6,1,-6,1,-7,1,-6,1,-6,1,-6,1,-6,1,-6,1,-6,1,-5,0,-6,0,-5,0,-6,0,-6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,23,-73,27,-67,26,-74,24,-70,30,-71,22,-67,27,-62,26,-64,29,-65,24,-66,29,-62,26,-64,27,-62,28,-61,24,-57,23,-62,25,-53,24,-55,28,-54,28,-50,25,-57,29,-50,31,-50,27,-52,26,-52,24,-54,24,-50,20,-53,21,-53,25,-50,19,-50,25,-45,20,-49,20,-45,24,-42,18,-42,17,-39,17,-40,19,-40,16,-36,13,-38,11,-35,12,-33,12,-37,17,-35,12,-35,13,-33,16,-32,13,-29,12,-33,10,-29,10,-26,6,-29,4,-26,-1,-27,3,-32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-45,29,-43,32,-41,33,-35,32,-26,33,-29,32,-18,31,-17,26,-15,27,-9,28,-6,21,-7,16,-4,9,-1,6,-2,3,-7,-2,-4,-6,0,-10,-9,-16,-8,-14,-14,-18,-19,-21,-24,-26,-25,-26,-26,-25,-33,-23,-39,-27,-44,-24,-46,-24,-45,-24,-51,-21,-55,-26,-51,-24,-55,-23,-55,-22,-57,-22,-60,-18,-58,-22,-55,-21,-59,-24,-61,-22,-59,-23,-60,-27,-61,-24,-59,-26,-69,-25,-64,-29,-60,-27,-65,-32,-65,-27,-60,-27,-66,-31,-64,-28,-64,-31,-73,-37,-71,-32,-66,0,0]"
CSI_DATA,34,2a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,880861,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-9,-10,-9,-11,-9,-11,-8,-11,-8,-11,-9,-10,-8,-10,-9,-9,-9,-10,-8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-8,-9,-8,-9,-7,-9,-8,-9,-8,-9,-9,-8,-9,-8,-7,-8,-8,-8,-7,-8,-8,0,0,-8,-7,-7,-7,-7,-8,-7,-6,-6,-7,-6,-7,-6,-6,-6,-7,-5,-7,-5,-6,-5,-6,-6,-6,-5,-6,-5,-5,-4,-6,-4,-5,-5,-5,-4,-5,-4,-5,-3,-5,-4,-5,-3,-5,-3,-5,-3,-4,-3,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,-68,-41,-60,-41,-61,-47,-63,-44,-56,-46,-61,-42,-54,-41,-58,-37,-59,-42,-54,-47,-49,-41,-52,-42,-52,-37,-48,-41,-53,-42,-46,-41,-52,-45,-44,-44,-43,-45,-47,-43,-44,-43,-45,-42,-44,-45,-41,-32,-43,-42,-42,-40,-41,-40,-47,-39,-42,-41,-44,-35,-41,-38,-41,-33,-39,-38,-37,-31,-35,-33,-37,-31,-34,-28,-36,-30,-34,-30,-32,-23,-33,-22,-32,-23,-32,-27,-30,-24,-30,-24,-27,-21,-27,-20,-22,-22,-26,-16,-24,-17,-24,-16,-21,-12,-26,-16,-33,-14,-26,-14,-24,-9,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,21,40,23,38,25,39,31,29,30,32,28,27,26,19,29,19,27,14,22,13,23,8,16,5,15,4,9,8,6,4,4,5,-3,5,-5,10,-13,8,-15,13,-19,12,-18,19,-23,21,-24,21,-24,30,-31,29,-30,35,-33,37,-35,37,-30,42,-31,42,-28,45,-31,49,-35,49,-30,50,-35,48,-34,50,-33,52,-28,48,-31,55,-30,50,-32,49,-32,52,-35,53,-39,49,-36,50,-38,54,-42,53,-39,50,-39,54,-40,54,-40,53,-45,51,-44,59,-45,59,-48,59,-40,0,0]"
CSI_DATA,35,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,950650,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-14,3,-14,3,-13,2,-13,2,-14,3,-13,2,-13,3,-13,3,-12,3,-12,3,-13,3,-12,3,-12,3,-12,3,-11,3,-12,4,-11,4,-12,3,-11,4,-11,3,-12,3,-11,3,-11,3,-11,3,-11,3,-11,3,0,0,-10,2,-10,2,-10,2,-10,1,-9,2,-9,2,-9,2,-8,1,-9,1,-8,1,-8,1,-8,1,-8,1,-7,1,-8,1,-7,1,-7,0,-6,0,-7,0,-6,0,-6,-1,-6,0,-6,-1,-6,-1,-6,-1,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,8,-71,6,-71,11,-79,11,-79,6,-71,10,-73,15,-66,7,-65,8,-65,5,-63,7,-68,12,-66,4,-66,6,-64,7,-63,8,-60,12,-64,10,-61,9,-59,11,-61,15,-60,11,-60,14,-58,14,-65,9,-60,12,-57,11,-59,13,-56,9,-55,8,-58,6,-54,5,-52,11,-46,11,-45,5,-47,8,-49,6,-45,6,-46,6,-44,1,-42,4,-39,1,-40,3,-37,2,-36,4,-34,1,-36,3,-30,0,-31,5,-33,3,-33,-5,-34,-2,-31,-5,-31,-4,-25,-3,-27,-6,-26,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-36,40,-29,34,-27,37,-28,42,-18,38,-18,34,-13,34,-6,29,-6,26,-5,25,2,21,-1,16,1,9,1,6,-5,6,-6,2,-5,-4,-7,-7,-11,-7,-16,-7,-21,-17,-22,-17,-25,-18,-28,-18,-36,-18,-40,-15,-40,-12,-47,-16,-48,-19,-49,-13,-52,-14,-56,-9,-56,-6,-53,-6,-60,-5,-64,-10,-59,-4,-62,-11,-61,-12,-64,-7,-63,-11,-60,-10,-65,-8,-63,-10,-64,-19,-72,-16,-65,-14,-68,-13,-66,-13,-71,-13,-65,-15,-69,-13,-73,-15,-73,-17,-73,-13,-76,-14,-75,0,0]"
CSI_DATA,36,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,969071,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-10,-9,-10,-9,-10,-10,-10,-9,-9,-9,-10,-9,-9,-8,-10,-9,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-9,-8,-10,-8,-9,-7,-9,-6,-9,-6,-9,-7,-9,-7,-9,-7,-9,-7,-9,-7,-9,-7,-8,-7,-8,-7,0,0,-8,-6,-8,-7,-8,-7,-7,-6,-7,-6,-7,-6,-6,-6,-6,-6,-6,-6,-6,-5,-5,-6,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-4,-5,-4,-5,-4,-5,-4,-5,-4,-5,-3,-5,-3,-5,-3,-5,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,-63,-40,-63,-43,-63,-47,-61,-51,-64,-49,-58,-43,-59,-46,-60,-43,-54,-49,-52,-43,-52,-42,-51,-46,-57,-39,-44,-45,-48,-47,-46,-42,-47,-45,-46,-46,-46,-44,-40,-43,-45,-44,-42,-48,-42,-47,-41,-44,-44,-47,-43,-46,-43,-42,-45,-39,-41,-39,-46,-40,-42,-39,-40,-38,-38,-34,-40,-33,-33,-33,-37,-34,-37,-33,-41,-31,-36,-29,-36,-33,-34,-25,-32,-25,-29,-25,-31,-25,-28,-23,-30,-22,-26,-22,-28,-23,-26,-18,-27,-18,-25,-19,-21,-22,-30,-17,-27,-10,-28,-11,-26,-12,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,16,46,23,45,23,38,31,32,27,32,26,24,27,21,30,14,26,12,24,10,20,7,19,5,10,7,13,4,9,3,1,6,-3,4,-9,5,-14,6,-16,11,-23,14,-21,13,-25,15,-24,23,-31,28,-31,26,-34,37,-34,37,-31,33,-39,39,-36,45,-36,45,-38,47,-32,48,-37,53,-33,48,-34,48,-40,46,-34,52,-39,54,-41,49,-41,51,-40,52,-40,52,-38,47,-34,50,-38,51,-42,55,-40,53,-45,54,-46,55,-52,59,-51,50,-47,57,-48,66,-52,57,-51,0,0]"
CSI_DATA,37,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,997463,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,-13,-7,-12,-7,-12,-7,-12,-7,-13,-7,-11,-7,-12,-7,-11,-7,-12,-7,-12,-7,-11,-8,-10,-8,-10,-7,-11,-7,-10,-7,-10,-8,-10,-8,-10,-8,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-6,-9,0,0,-6,-9,-6,-9,-5,-9,-6,-9,-5,-9,-5,-8,-4,-8,-4,-8,-4,-8,-4,-8,-4,-7,-4,-7,-3,-6,-4,-6,-3,-6,-3,-6,-4,-6,-3,-6,-3,-6,-3,-6,-2,-6,-3,-6,-2,-6,-2,-5,-1,-5,-1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,-71,-36,-69,-34,-73,-37,-64,-38,-65,-33,-64,-30,-67,-36,-61,-36,-61,-34,-64,-33,-59,-36,-58,-34,-56,-34,-55,-35,-56,-38,-56,-38,-57,-36,-51,-30,-51,-37,-52,-41,-51,-38,-53,-38,-50,-37,-46,-33,-49,-35,-52,-37,-47,-37,-48,-33,-45,-34,-48,-29,-43,-34,-44,-31,-43,-29,-41,-31,-43,-29,-43,-27,-42,-28,-41,-24,-39,-23,-39,-17,-37,-20,-37,-22,-35,-19,-30,-21,-29,-18,-32,-14,-33,-21,-26,-18,-31,-15,-27,-16,-25,-16,-26,-10,-28,-12,-25,-10,-27,-8,-30,-9,-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,34,32,31,28,28,36,25,34,21,34,16,34,11,32,10,27,5,25,0,22,6,21,4,15,3,9,2,7,1,2,4,-3,2,-6,5,-10,8,-11,9,-16,17,-16,14,-21,20,-26,32,-28,33,-32,31,-28,35,-30,40,-24,45,-29,41,-27,50,-26,44,-22,52,-24,49,-24,52,-25,52,-28,52,-25,59,-22,52,-26,55,-26,53,-29,56,-30,60,-23,58,-35,56,-42,58,-39,57,-35,59,-33,56,-31,64,-35,65,-34,61,-32,63,-37,66,-40,68,-39,66,-40,0,0]"
CSI_DATA,38,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,1019872,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-15,-2,-13,-2,-13,-3,-13,-3,-14,-2,-13,-2,-13,-2,-13,-3,-13,-2,-13,-2,-13,-1,-13,-1,-12,-1,-12,-1,-11,-1,-13,-1,-12,0,-12,0,-11,-1,-12,-1,-11,-1,-11,-1,-12,0,-12,0,-11,-1,-11,-2,0,0,-11,-1,-11,-2,-10,-1,-10,-1,-9,-1,-9,-2,-9,-2,-9,-2,-8,-2,-8,-1,-8,-1,-7,-1,-7,-1,-7,-2,-7,-1,-6,-1,-7,-2,-6,-1,-6,-1,-6,-2,-6,-2,-6,-1,-6,-2,-5,-2,-5,-2,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,-19,-77,-9,-75,-14,-75,-18,-72,-16,-76,-12,-76,-16,-72,-14,-65,-15,-68,-16,-69,-13,-66,-11,-74,-10,-62,-9,-67,-9,-64,-8,-64,-8,-58,-7,-61,-8,-62,-4,-63,-5,-60,-4,-61,-3,-57,-4,-58,-5,-61,-8,-59,-6,-60,-6,-58,-9,-58,-7,-51,-11,-58,-13,-52,-8,-53,-13,-53,-8,-46,-7,-49,-7,-47,-8,-46,-9,-43,-4,-40,-7,-39,-12,-39,-8,-35,-4,-36,-7,-38,-3,-37,-9,-31,-7,-30,-8,-28,-8,-26,-6,-29,-10,-30,-12,-26,-11,-24,-11,-24,-11,-25,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-18,44,-13,41,-12,44,-4,44,-2,41,2,38,4,34,7,31,7,26,9,19,8,17,9,13,7,12,7,8,3,1,-2,-1,-3,-1,-10,-6,-7,-7,-14,-8,-22,-8,-27,-7,-26,-9,-32,-7,-37,-7,-45,-2,-44,-4,-49,-2,-47,4,-51,2,-55,5,-58,5,-53,11,-56,5,-55,10,-57,12,-58,12,-60,13,-60,12,-60,13,-61,11,-65,13,-66,8,-64,12,-63,9,-62,11,-66,8,-73,10,-70,8,-67,12,-70,6,-73,6,-73,7,-74,8,-74,14,-74,11,-77,0,0]"
CSI_DATA,39,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,1037174,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-7,12,-6,12,-5,12,-6,12,-5,11,-6,11,-5,11,-6,11,-5,11,-5,11,-5,11,-5,11,-5,10,-4,10,-4,10,-5,10,-4,10,-4,10,-3,11,-4,11,-4,10,-4,10,-4,10,-3,10,-4,10,-4,9,0,0,-4,9,-4,8,-4,8,-4,8,-4,8,-4,7,-4,7,-4,7,-4,6,-4,6,-4,6,-3,6,-3,6,-3,5,-3,5,-3,5,-4,5,-3,5,-3,5,-4,4,-3,5,-4,4,-3,4,-3,3,-4,3,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,71,-30,72,-31,74,-36,71,-29,63,-31,69,-30,66,-29,68,-23,61,-23,67,-29,64,-26,60,-28,63,-24,61,-19,60,-16,60,-20,65,-18,62,-19,62,-11,57,-16,62,-18,55,-9,58,-17,58,-12,57,-19,58,-16,59,-17,57,-20,55,-15,53,-15,51,-20,53,-20,49,-18,50,-14,40,-20,46,-19,43,-19,43,-18,44,-20,39,-20,37,-17,32,-15,33,-14,33,-14,36,-15,31,-16,32,-15,32,-13,26,-13,30,-19,26,-18,25,-18,27,-13,22,-15,19,-13,20,-19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,-45,-4,-49,0,-44,3,-46,8,-39,12,-42,13,-33,16,-30,14,-29,12,-23,14,-18,11,-19,8,-8,7,-8,0,-6,0,-4,-6,-1,-5,-1,-12,3,-20,6,-19,8,-25,1,-31,0,-37,1,-40,-1,-38,-3,-44,-5,-49,-8,-46,-14,-55,-11,-47,-13,-56,-14,-53,-18,-54,-23,-54,-23,-54,-26,-54,-21,-56,-22,-61,-24,-58,-26,-56,-26,-61,-21,-63,-24,-58,-20,-63,-27,-62,-15,-60,-21,-67,-22,-68,-17,-65,-26,-67,-23,-67,-23,-69,-28,-67,-21,-73,-26,-80,-26,-76,-28,0,0]"
CSI_DATA,40,2a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,1047506,0,44,0,384,0,"[0,0,0,0,0,0,0,0,0,0,0,0,-6,11,-6,12,-5,12,-5,12,-5,11,-6,11,-6,11,-6,10,-5,10,-5,11,-5,10,-5,10,-4,11,-5,11,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,9,-4,9,-5,9,-4,9,0,0,-5,9,-4,8,-4,8,-4,7,-5,8,-4,7,-4,7,-4,6,-4,6,-4,6,-4,5,-4,5,-4,5,-4,5,-4,5,-3,5,-4,5,-4,4,-4,4,-4,4,-4,4,-3,4,-3,3,-4,3,-4,3,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,77,-23,68,-24,78,-27,69,-22,67,-25,70,-21,65,-29,69,-17,67,-26,64,-26,61,-24,64,-21,62,-16,58,-19,60,-19,61,-17,66,-15,58,-14,63,-16,58,-12,63,-15,60,-13,64,-11,63,-19,58,-15,58,-17,53,-15,56,-16,57,-14,53,-13,51,-16,52,-14,48,-15,50,-14,43,-15,47,-17,44,-15,42,-15,40,-15,39,-13,38,-14,38,-11,35,-15,35,-16,32,-19,33,-11,31,-13,31,-15,29,-13,29,-11,27,-15,26,-18,26,-12,23,-16,24,-17,20,-19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,-44,-8,-48,-5,-43,-2,-44,5,-41,9,-39,6,-36,10,-29,13,-27,12,-23,9,-24,10,-16,8,-10,5,-13,6,-3,-1,-5,-3,-2,-6,5,-11,2,-15,8,-24,4,-25,5,-28,2,-37,7,-36,2,-40,1,-48,-5,-44,-6,-51,-8,-56,-7,-47,-7,-61,-19,-56,-18,-58,-16,-61,-21,-58,-15,-59,-18,-59,-15,-59,-19,-64,-18,-63,-23,-57,-15,-60,-19,-63,-15,-64,-20,-65,-26,-63,-24,-66,-17,-67,-18,-66,-17,-69,-17,-67,-15,-70,-19,-71,-16,-77,-19,-78,-18,-73,-21,0,0]"
